"x"
0
8
132
212
153
130
62
100
8
28
13
150
0
0
0
0
2
8
72
0
12
4
12
125
69
2
0
0
0
0
0
0
8
0
139
5
0
0
9
0
0
0
0
0
0
72
23
3
2
0
1
