"x"
3
0
10
12
11
29
17
2
20
5
26
0
18
0
17
20
0
16
10
0
0
5
0
18
0
5
0
20
0
9
0
23
0
31
0
0
63
4
0
57
1
0
6
19
0
0
0
2
0
42
