"x"
239
206
11
0
7
0
21
3
63
0
36
0
241
0
0
454
52
96
0
100
15
45
73
271
0
7
68
0
0
0
60
223
26
19
26
150
106
0
0
0
0
0
1
24
9
138
0
0
139
0
